Title,Author,Rating
Jacques the Fatalist,Denis Diderot,"3.80 avg rating — 9,081 ratings"
Season of Migration to the North,Tayeb Salih,"3.72 avg rating — 30,510 ratings"
The Tale of Genji,Murasaki Shikibu,"3.72 avg rating — 13,897 ratings"
Sentimental Education,Gustave Flaubert,"3.81 avg rating — 23,237 ratings"
أولاد حارتنا,Naguib Mahfouz,"4.09 avg rating — 29,678 ratings"
Independent People,Halldór Laxness,"4.13 avg rating — 13,111 ratings"
The Sound of the Mountain,Yasunari Kawabata,"3.85 avg rating — 8,685 ratings"
Nostromo,Joseph Conrad,"3.81 avg rating — 17,267 ratings"
Diary of a Madman and Other Stories,Lu Xun,"3.91 avg rating — 2,323 ratings"
Grande Sertão: Veredas,João Guimarães Rosa,"4.61 avg rating — 5,656 ratings"
Zeno's Conscience,Italo Svevo,"3.77 avg rating — 28,938 ratings"
Romancero gitano,Federico García Lorca,"4.22 avg rating — 12,339 ratings"
History,Elsa Morante,"4.30 avg rating — 8,510 ratings"
Poems of Paul Celan,Paul Celan,"4.34 avg rating — 3,456 ratings"
Berlin Alexanderplatz,Alfred Döblin,"3.84 avg rating — 10,264 ratings"
Njal's Saga,Anonymous,"3.94 avg rating — 5,192 ratings"
The Recognition of Śakuntalā,Kālidāsa,"3.86 avg rating — 1,888 ratings"
The Orchard: The Bostan Of Saadi Of Shiraz,Saadi,"4.36 avg rating — 1,968 ratings"
The Poems of Giacomo Leopardi,Giacomo Leopardi,"4.39 avg rating — 2,885 ratings"
